Player,Pos_x,Age_x,Tm_x,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Year,SeasonType_x,MPG,G_p,MP_p,PER_p,TS%_p,3PAr_p,FTr_p,ORB%_p,DRB%_p,TRB%_p,AST%_p,STL%_p,BLK%_p,TOV%_p,USG%_p,OWS_p,DWS_p,WS_p,WS/48_p,OBPM_p,DBPM_p,BPM_p,VORP_p,SeasonType_y,MPG_p,PER_diff,VORP_diff,WS/48_diff,abs_WS_diff
Aaron Gordon,PF,23,ORL,78,2633,15.1,0.538,0.332,0.242,5.2,18.4,11.7,16.6,1.1,1.8,12.3,21.8,1.8,3.3,5.1,0.093,0.3,0.3,0.6,1.7,2019,Regular Season,33.756410256410255,5,164,15.3,0.54,0.323,0.306,6.8,17.9,12.0,22.2,1.8,0.6,15.6,22.5,0.0,0.1,0.2,0.048,1.7,1.8,3.5,0.2,Playoffs,32.8,0.200000000000001,-1.5,-0.045,0.045
Aaron Gordon,PF,26,DEN,75,2376,15.3,0.602,0.312,0.276,6.1,14.3,10.3,11.6,0.9,1.7,12.5,19.7,3.2,2.0,5.2,0.105,0.5,-1.1,-0.6,0.9,2022,Regular Season,31.68,5,160,15.7,0.52,0.278,0.519,13.5,14.4,13.9,12.0,0.6,3.9,10.8,20.2,0.3,0.0,0.2,0.063,0.9,-2.2,-1.3,0.0,Playoffs,32.0,0.3999999999999986,-0.9,-0.0419999999999999,0.0419999999999999
Aaron Gordon,PF,27,DEN,68,2055,19.5,0.617,0.227,0.413,9.4,15.4,12.5,14.2,1.3,2.2,9.8,21.1,4.6,2.2,6.8,0.158,2.4,-0.3,2.1,2.1,2023,Regular Season,30.22058823529412,20,713,14.1,0.588,0.236,0.354,8.3,11.2,9.8,9.9,0.8,1.6,8.2,15.5,1.4,0.7,2.1,0.142,0.4,-0.6,-0.2,0.3,Playoffs,35.65,-5.4,-1.8,-0.016,0.016
Al Horford,C,32,BOS,68,1973,20.2,0.605,0.281,0.131,6.5,18.3,12.4,21.2,1.4,3.9,11.8,18.9,4.5,2.9,7.5,0.181,3.3,1.9,5.1,3.6,2019,Regular Season,29.014705882352946,9,310,14.2,0.53,0.4,0.164,4.5,21.4,13.3,21.7,0.6,2.1,13.9,19.4,0.1,0.5,0.7,0.105,1.5,1.3,2.8,0.4,Playoffs,34.44444444444444,-6.0,-3.2,-0.076,0.076
Al Horford,C,33,PHI,67,2025,15.7,0.536,0.399,0.113,5.6,19.3,12.4,19.2,1.2,2.6,9.7,17.5,2.8,2.6,5.4,0.128,1.3,1.0,2.2,2.2,2020,Regular Season,30.22388059701493,4,129,10.7,0.499,0.16,0.28,7.3,17.1,12.1,11.6,0.4,3.6,9.7,10.5,0.1,0.0,0.1,0.049,-1.8,0.4,-1.3,0.0,Playoffs,32.25,-5.0,-2.2,-0.079,0.079
Al Horford,C,35,BOS,69,2005,16.7,0.574,0.466,0.167,6.0,22.2,14.3,16.4,1.2,4.2,9.6,14.8,3.7,3.8,7.6,0.181,1.4,2.9,4.3,3.2,2022,Regular Season,29.057971014492757,23,815,16.6,0.663,0.508,0.187,5.0,23.9,14.8,14.6,1.2,3.5,12.2,13.1,1.7,1.5,3.2,0.187,2.2,3.8,6.0,1.7,Playoffs,35.43478260869565,-0.0999999999999978,-1.5000000000000002,0.006,0.006
Al Horford,C,36,BOS,63,1922,13.8,0.631,0.678,0.044,4.2,17.7,11.1,13.2,0.8,2.7,7.0,11.9,3.6,2.7,6.3,0.157,1.6,1.7,3.3,2.5,2023,Regular Season,30.50793650793651,20,617,12.8,0.497,0.712,0.03,5.7,20.4,13.3,12.5,1.8,4.9,7.6,10.6,0.6,0.9,1.5,0.118,-0.4,3.2,2.8,0.7,Playoffs,30.85,-1.0,-1.8,-0.039,0.039
Andre Drummond,C,25,DET,79,2647,23.4,0.555,0.036,0.392,16.8,34.7,25.4,7.2,2.5,4.4,12.4,22.9,4.1,5.9,10.0,0.181,1.3,0.8,2.1,2.7,2019,Regular Season,33.50632911392405,4,127,15.6,0.451,0.019,0.389,13.9,29.3,20.6,12.0,2.2,3.6,14.8,24.5,-0.2,0.1,-0.1,-0.042,-1.9,-1.0,-2.9,0.0,Playoffs,31.75,-7.799999999999999,-2.7,-0.223,0.223
Andrew Wiggins,SF,26,GSW,73,2329,15.0,0.56,0.392,0.231,4.1,10.9,7.6,10.8,1.6,2.1,9.0,23.1,1.8,3.4,5.1,0.105,0.3,0.1,0.4,1.4,2022,Regular Season,31.90410958904109,22,767,16.0,0.544,0.344,0.213,8.1,15.8,12.1,7.7,1.4,3.0,8.3,20.8,0.8,0.9,1.7,0.108,0.5,0.3,0.8,0.5,Playoffs,34.86363636363637,1.0,-0.8999999999999999,0.003,0.003
Andrew Wiggins,SF,27,GSW,37,1190,14.7,0.564,0.425,0.136,5.7,11.3,8.6,10.5,1.8,2.1,7.9,21.5,1.0,1.3,2.3,0.091,-0.1,-0.4,-0.5,0.5,2023,Regular Season,32.16216216216216,13,442,13.3,0.538,0.354,0.26,5.5,11.6,8.5,8.2,1.2,2.9,7.8,20.4,0.3,0.5,0.8,0.085,-1.3,0.4,-0.9,0.1,Playoffs,34.0,-1.3999999999999986,-0.4,-0.0059999999999999,0.0059999999999999
Anthony Davis,PF,26,LAL,62,2131,27.4,0.61,0.199,0.479,7.4,22.1,14.8,15.1,2.0,6.0,10.4,29.3,6.7,4.4,11.1,0.25,5.4,2.6,8.0,5.4,2020,Regular Season,34.37096774193548,21,769,29.6,0.665,0.167,0.499,8.5,22.7,15.6,16.1,1.7,3.8,10.8,27.8,3.3,1.2,4.5,0.284,6.5,2.1,8.7,2.1,Playoffs,36.61904761904762,2.200000000000003,-3.3000000000000003,0.0339999999999999,0.0339999999999999
Anthony Davis,C,29,LAL,56,1904,27.8,0.627,0.077,0.462,11.3,27.6,19.7,13.0,1.5,5.1,9.5,28.4,5.5,3.4,9.0,0.226,4.6,1.7,6.3,4.0,2023,Regular Season,34.0,16,608,24.0,0.599,0.059,0.425,7.0,30.9,19.7,10.7,1.8,7.4,10.1,24.2,1.1,1.4,2.6,0.202,2.8,3.0,5.7,1.2,Playoffs,38.0,-3.8000000000000007,-2.8,-0.0239999999999999,0.0239999999999999
Anthony Edwards,SG,20,MIN,72,2466,16.5,0.56,0.484,0.225,2.6,12.5,7.5,17.4,2.0,1.8,12.2,26.4,1.8,2.4,4.3,0.084,1.6,-0.4,1.2,2.0,2022,Regular Season,34.25,6,227,17.8,0.604,0.518,0.309,2.1,9.8,6.1,14.8,1.4,2.6,10.7,26.4,0.3,0.2,0.5,0.102,3.2,0.2,3.5,0.3,Playoffs,37.833333333333336,1.3000000000000007,-1.7,0.0179999999999999,0.0179999999999999
Anthony Edwards,SG,21,MIN,79,2842,17.4,0.564,0.375,0.274,1.9,15.9,9.0,19.3,2.1,1.8,13.0,29.9,0.2,3.6,3.8,0.064,1.0,0.0,1.0,2.1,2023,Regular Season,35.9746835443038,5,199,27.5,0.602,0.377,0.342,1.7,13.2,7.3,26.4,2.3,4.4,5.7,32.3,0.6,0.2,0.8,0.19,7.3,3.2,10.4,0.6,Playoffs,39.8,10.1,-1.5,0.126,0.126
Austin Reaves,SG,24,LAL,64,1843,14.9,0.687,0.441,0.541,2.0,9.0,5.6,15.7,0.8,0.9,14.0,16.2,4.1,1.4,5.4,0.142,0.6,0.1,0.7,1.2,2023,Regular Season,28.796875,16,579,15.4,0.616,0.454,0.294,3.9,8.9,6.5,18.2,0.8,0.5,10.2,18.5,1.2,0.4,1.6,0.135,2.0,0.2,2.2,0.6,Playoffs,36.1875,0.5,-0.6,-0.0069999999999999,0.0069999999999999
Austin Rivers,SG,28,DEN,36,845,9.9,0.551,0.608,0.127,1.1,9.6,5.4,13.2,1.8,0.2,12.2,15.4,0.4,0.9,1.3,0.072,-2.2,0.3,-1.9,0.0,2021,Regular Season,23.47222222222222,10,305,7.5,0.605,0.667,0.232,0.3,6.4,3.1,9.0,0.3,0.9,10.6,12.1,0.3,-0.1,0.1,0.022,-3.4,-1.0,-4.4,-0.2,Playoffs,30.5,-2.4000000000000004,-0.2,-0.0499999999999999,0.0499999999999999
Bam Adebayo,PF,22,MIA,72,2417,20.3,0.598,0.018,0.484,8.5,24.9,17.0,24.2,1.7,3.8,17.6,21.2,4.6,3.9,8.5,0.168,1.4,2.0,3.4,3.3,2020,Regular Season,33.56944444444444,19,687,20.8,0.625,0.005,0.523,8.2,24.2,16.5,20.5,1.4,2.3,14.8,21.0,1.7,0.9,2.6,0.18,2.3,1.8,4.1,1.0,Playoffs,36.1578947368421,0.5,-2.3,0.0119999999999999,0.0119999999999999
Bam Adebayo,C,23,MIA,64,2143,22.7,0.626,0.01,0.443,7.7,22.6,15.3,26.9,1.7,3.2,15.0,23.7,5.6,3.2,8.8,0.197,2.9,2.0,4.9,3.7,2021,Regular Season,33.484375,4,136,14.9,0.494,0.0,0.228,9.6,17.2,13.2,23.8,1.8,1.3,14.9,23.8,-0.1,0.1,0.0,0.011,0.4,0.5,0.9,0.1,Playoffs,34.0,-7.799999999999999,-3.6,-0.186,0.186
Bam Adebayo,C,24,MIA,56,1825,21.8,0.608,0.008,0.466,8.7,26.1,17.5,17.5,2.2,2.6,14.4,25.0,3.6,3.5,7.2,0.188,1.7,2.1,3.8,2.7,2022,Regular Season,32.589285714285715,18,614,17.9,0.638,0.006,0.434,6.9,21.3,13.8,12.6,1.5,2.3,15.4,17.9,1.2,1.0,2.2,0.169,0.9,2.0,2.9,0.8,Playoffs,34.111111111111114,-3.900000000000002,-1.9,-0.0189999999999999,0.0189999999999999
Bam Adebayo,C,25,MIA,75,2598,20.1,0.592,0.011,0.361,8.0,23.6,15.5,15.9,1.7,2.4,12.7,25.2,3.6,3.8,7.4,0.137,0.8,0.8,1.5,2.3,2023,Regular Season,34.64,23,850,15.8,0.53,0.009,0.274,8.3,22.5,15.3,15.9,1.2,1.8,13.8,23.8,0.3,1.1,1.4,0.078,-1.2,0.6,-0.6,0.3,Playoffs,36.95652173913044,-4.300000000000001,-2.0,-0.059,0.059
Ben Simmons,PG,22,PHI,79,2700,20.0,0.582,0.006,0.446,6.9,20.0,13.7,34.2,2.0,1.8,19.3,22.1,4.6,3.6,8.2,0.146,2.2,1.3,3.6,3.8,2019,Regular Season,34.177215189873415,12,421,18.0,0.625,0.0,0.345,6.5,14.9,10.9,26.3,1.7,2.6,19.3,16.6,0.8,0.6,1.4,0.161,1.6,2.0,3.7,0.6,Playoffs,35.083333333333336,-2.0,-3.2,0.015,0.015
Ben Simmons,PG,24,PHI,58,1877,18.3,0.584,0.017,0.492,5.6,18.7,12.2,31.3,2.4,1.7,19.6,20.2,2.7,3.3,6.0,0.153,0.7,2.2,2.9,2.3,2021,Regular Season,32.36206896551724,12,402,18.1,0.562,0.011,0.768,7.1,18.5,13.0,35.7,1.8,2.0,17.5,16.5,0.7,0.7,1.4,0.173,1.5,2.8,4.3,0.6,Playoffs,33.5,-0.1999999999999993,-1.6999999999999995,0.0199999999999999,0.0199999999999999
Bogdan Bogdanović,SG,28,ATL,44,1305,17.6,0.616,0.589,0.078,1.7,11.5,6.7,17.6,1.8,0.9,8.5,21.3,2.8,1.1,3.9,0.142,3.3,0.3,3.6,1.8,2021,Regular Season,29.65909090909091,18,598,10.9,0.493,0.574,0.068,2.0,11.6,6.8,13.4,2.4,0.7,9.5,21.0,-0.4,0.9,0.5,0.037,-0.1,0.5,0.4,0.4,Playoffs,33.22222222222222,-6.700000000000001,-1.4,-0.1049999999999999,0.1049999999999999
Bojan Bogdanović,SF,29,IND,81,2573,16.1,0.613,0.367,0.29,1.5,12.7,7.2,9.5,1.3,0.0,10.2,22.4,3.9,2.8,6.8,0.126,1.3,-0.6,0.7,1.7,2019,Regular Season,31.765432098765437,4,148,15.2,0.511,0.349,0.27,2.0,16.3,8.5,14.1,2.7,0.0,7.8,23.7,0.0,0.3,0.3,0.085,0.4,1.4,1.9,0.1,Playoffs,37.0,-0.9000000000000021,-1.6,-0.0409999999999999,0.0409999999999999
Bojan Bogdanović,SF,31,UTA,72,2216,14.0,0.588,0.498,0.286,2.0,11.1,6.7,9.1,1.0,0.1,10.9,22.8,2.7,2.5,5.2,0.113,0.2,-0.7,-0.4,0.9,2021,Regular Season,30.77777777777778,11,390,13.8,0.642,0.555,0.299,1.9,11.7,7.0,6.2,1.3,0.0,12.9,20.2,0.6,0.0,0.5,0.067,1.1,-0.6,0.5,0.2,Playoffs,35.45454545454545,-0.1999999999999993,-0.7,-0.046,0.046
Bojan Bogdanović,PF,32,UTA,69,2131,15.7,0.599,0.504,0.28,3.1,11.8,7.6,8.7,0.8,0.0,10.2,23.7,3.6,1.6,5.2,0.118,1.6,-1.6,0.0,1.1,2022,Regular Season,30.88405797101449,6,214,13.1,0.59,0.407,0.296,1.6,11.9,6.8,8.5,0.5,0.0,11.6,22.7,0.2,0.0,0.3,0.057,0.2,-0.7,-0.5,0.1,Playoffs,35.666666666666664,-2.6,-1.0,-0.0609999999999999,0.0609999999999999
Bradley Beal,SG,27,WAS,60,2147,22.7,0.593,0.27,0.332,3.6,10.4,7.0,21.3,1.5,0.9,10.6,34.1,4.2,1.7,5.9,0.132,4.8,-1.4,3.4,2.9,2021,Regular Season,35.78333333333333,5,195,17.5,0.54,0.26,0.293,3.2,14.5,8.7,19.3,1.0,1.2,12.6,34.1,-0.1,0.0,0.0,-0.01,3.9,-2.3,1.6,0.2,Playoffs,39.0,-5.199999999999999,-2.7,-0.142,0.142
Brandon Ingram,SF,24,NOP,55,1869,18.7,0.554,0.23,0.328,2.0,17.3,9.5,27.8,0.9,1.3,11.8,29.3,2.5,1.3,3.9,0.099,2.6,-0.6,2.0,1.9,2022,Regular Season,33.981818181818184,6,236,21.3,0.584,0.229,0.398,1.9,17.7,9.3,27.3,0.9,0.7,14.2,29.5,0.6,0.0,0.6,0.12,4.5,-0.5,3.9,0.4,Playoffs,39.333333333333336,2.6000000000000014,-1.5,0.0209999999999999,0.0209999999999999
Brook Lopez,C,31,MIL,68,1817,15.0,0.551,0.484,0.227,3.4,13.0,8.5,7.4,1.2,7.9,8.7,18.3,1.4,4.1,5.5,0.145,-0.4,2.5,2.0,1.9,2020,Regular Season,26.72058823529412,10,328,17.1,0.643,0.465,0.175,6.1,12.0,9.0,2.4,1.5,4.3,8.9,17.7,0.6,0.5,1.0,0.149,1.8,1.4,3.2,0.4,Playoffs,32.8,2.1000000000000014,-1.5,0.004,0.004
Brook Lopez,C,34,MIL,78,2373,18.4,0.63,0.405,0.211,7.2,15.3,11.4,6.1,0.7,6.7,9.8,19.3,4.1,3.9,8.0,0.161,0.8,1.3,2.1,2.5,2023,Regular Season,30.423076923076923,5,182,18.4,0.653,0.254,0.194,8.3,11.6,9.9,4.8,1.8,4.4,13.1,19.4,0.3,0.1,0.4,0.113,1.0,0.4,1.4,0.2,Playoffs,36.4,0.0,-2.3,-0.048,0.048
Bruce Brown,SF,25,BRK,72,1774,15.0,0.575,0.186,0.253,6.3,14.7,10.6,11.5,2.1,2.6,9.1,15.0,2.8,2.0,4.8,0.13,-0.4,1.1,0.7,1.2,2022,Regular Season,24.63888888888889,4,139,15.4,0.676,0.378,0.27,5.6,12.3,8.9,11.9,1.8,2.1,17.9,16.6,0.3,0.0,0.2,0.078,2.1,0.3,2.4,0.2,Playoffs,34.75,0.4000000000000003,-1.0,-0.052,0.052
Bryn Forbes,SG,25,SAS,82,2293,12.0,0.586,0.522,0.099,0.9,10.4,5.7,10.6,1.0,0.1,8.8,17.4,2.5,1.3,3.8,0.079,-0.3,-0.9,-1.2,0.5,2019,Regular Season,27.963414634146343,7,212,11.6,0.625,0.554,0.161,0.5,12.1,6.3,4.8,0.2,0.4,4.8,13.7,0.4,0.0,0.4,0.082,-0.2,-0.6,-0.8,0.1,Playoffs,30.285714285714285,-0.4000000000000003,-0.4,0.003,0.003
CJ McCollum,SG,27,POR,70,2375,17.0,0.553,0.358,0.154,2.9,9.7,6.3,13.8,1.1,0.9,7.4,25.5,4.0,1.7,5.6,0.114,2.1,-1.0,1.0,1.8,2019,Regular Season,33.92857142857143,16,635,17.9,0.527,0.334,0.16,2.3,11.0,6.7,16.8,1.0,1.3,7.4,27.6,0.8,0.3,1.0,0.079,3.4,-0.7,2.6,0.7,Playoffs,39.6875,0.8999999999999986,-1.1,-0.035,0.035
CJ McCollum,SG,28,POR,70,2556,17.0,0.541,0.378,0.136,1.9,10.2,6.1,19.1,1.0,1.4,8.1,25.9,3.5,0.6,4.1,0.077,2.3,-1.8,0.5,1.6,2020,Regular Season,36.51428571428571,5,196,14.9,0.534,0.354,0.222,2.7,12.9,7.8,14.6,1.4,0.9,12.1,26.3,0.0,0.1,0.1,0.021,2.4,-1.4,1.0,0.1,Playoffs,39.2,-2.1,-1.5,-0.0559999999999999,0.0559999999999999
CJ McCollum,SG,29,POR,47,1600,20.8,0.577,0.475,0.15,2.0,10.6,6.2,23.0,1.3,1.2,6.5,27.1,4.1,0.6,4.7,0.141,5.0,-1.1,3.9,2.4,2021,Regular Season,34.04255319148936,6,240,12.8,0.518,0.368,0.114,3.0,14.1,8.7,17.0,0.4,1.5,9.1,24.7,0.1,0.0,0.0,0.007,-0.4,-2.9,-3.3,-0.1,Playoffs,40.0,-8.0,-2.5,-0.1339999999999999,0.1339999999999999
CJ McCollum,SG,30,NOP,62,2145,18.3,0.553,0.403,0.146,2.6,11.5,6.9,26.1,1.6,1.0,9.3,27.5,2.6,1.0,3.6,0.081,3.2,-1.3,1.9,2.1,2022,Regular Season,34.596774193548384,6,234,15.5,0.487,0.408,0.208,5.2,15.7,10.1,20.5,0.9,1.8,9.9,27.9,0.2,0.0,0.2,0.047,2.6,-2.0,0.6,0.2,Playoffs,39.0,-2.8000000000000007,-1.9,-0.034,0.034
Caleb Martin,SF,27,MIA,71,2077,11.4,0.571,0.431,0.206,4.8,15.0,9.7,8.2,1.7,1.5,11.5,14.4,1.2,2.5,3.7,0.086,-1.8,0.5,-1.2,0.4,2023,Regular Season,29.253521126760564,23,694,15.3,0.657,0.505,0.17,4.4,16.4,10.3,7.8,1.5,1.3,9.8,15.9,1.2,0.8,2.0,0.14,0.6,1.7,2.3,0.8,Playoffs,30.17391304347826,3.9,0.4,0.054,0.054
Cameron Johnson,PF,26,BRK,42,1199,17.1,0.617,0.538,0.253,3.2,14.0,8.6,9.6,2.0,1.0,6.6,20.6,2.1,1.4,3.5,0.142,2.0,0.6,2.6,1.4,2023,Regular Season,28.547619047619047,4,152,16.4,0.637,0.509,0.127,2.3,14.9,8.7,13.8,1.1,0.6,7.9,20.4,0.2,0.1,0.3,0.105,2.2,1.0,3.2,0.2,Playoffs,38.0,-0.7000000000000028,-1.2,-0.0369999999999999,0.0369999999999999
Caris LeVert,SG,25,BRK,45,1330,16.1,0.514,0.301,0.269,3.9,10.7,7.4,25.0,1.9,0.6,12.6,29.5,0.1,1.4,1.5,0.055,0.6,-0.9,-0.3,0.5,2020,Regular Season,29.55555555555556,4,140,17.1,0.482,0.288,0.342,5.4,12.4,8.6,48.3,1.7,0.7,13.4,28.5,0.0,0.0,0.0,0.0,3.2,-0.7,2.6,0.2,Playoffs,35.0,1.0,-0.3,-0.055,0.055
Caris LeVert,SG,28,CLE,74,2237,12.4,0.546,0.437,0.243,2.8,12.1,7.4,18.0,1.6,1.0,12.4,18.7,1.4,3.1,4.4,0.095,-1.0,0.8,-0.2,1.0,2023,Regular Season,30.22972972972973,5,170,12.4,0.546,0.571,0.206,2.9,12.5,7.9,13.3,0.6,0.5,6.8,20.3,0.1,0.2,0.3,0.092,1.2,0.8,2.1,0.2,Playoffs,34.0,0.0,-0.8,-0.003,0.003
Carmelo Anthony,PF,35,POR,58,1902,12.4,0.525,0.289,0.206,3.9,16.1,10.1,6.4,1.2,1.2,10.5,21.2,0.4,0.9,1.3,0.033,-1.8,-1.8,-3.6,-0.8,2020,Regular Season,32.793103448275865,5,176,8.4,0.512,0.279,0.206,0.6,14.4,7.5,9.1,1.3,1.0,14.9,20.6,-0.2,0.1,-0.1,-0.021,-2.3,-0.7,-2.9,0.0,Playoffs,35.2,-4.0,0.8,-0.054,0.054
Chris Paul,PG,33,HOU,58,1857,19.7,0.56,0.493,0.282,2.1,13.9,7.9,39.3,3.0,0.8,15.8,22.5,4.4,2.2,6.6,0.172,2.7,1.1,3.9,2.8,2019,Regular Season,32.01724137931034,11,397,17.6,0.557,0.426,0.304,4.1,15.4,9.9,25.1,3.0,1.6,18.1,22.7,0.5,0.6,1.1,0.132,0.7,1.7,2.5,0.4,Playoffs,36.09090909090909,-2.099999999999998,-2.4,-0.0399999999999999,0.0399999999999999
Chris Paul,PG,34,OKC,70,2208,21.7,0.61,0.343,0.315,1.3,15.7,8.7,34.0,2.4,0.4,13.8,23.3,5.9,3.0,8.9,0.193,3.0,1.4,4.4,3.5,2020,Regular Season,31.542857142857144,7,261,19.3,0.604,0.384,0.232,1.2,18.9,10.4,26.1,2.0,1.4,15.7,24.2,0.4,0.4,0.8,0.141,1.9,2.2,4.1,0.4,Playoffs,37.285714285714285,-2.3999999999999986,-3.1,-0.052,0.052
Chris Paul,PG,35,PHO,70,2199,21.4,0.599,0.294,0.206,1.3,14.5,8.0,40.9,2.2,0.8,14.0,22.6,6.5,2.7,9.2,0.201,3.5,1.1,4.6,3.6,2021,Regular Season,31.414285714285715,20,683,20.7,0.584,0.217,0.217,1.6,9.4,5.7,39.5,1.7,0.4,11.6,24.8,1.7,0.9,2.5,0.178,4.3,0.7,5.0,1.2,Playoffs,34.15,-0.6999999999999993,-2.4000000000000004,-0.023,0.023
Chris Paul,PG,36,PHO,65,2139,20.8,0.581,0.27,0.274,1.1,12.8,7.1,44.5,2.7,0.8,15.6,19.7,5.8,3.6,9.4,0.21,3.1,2.3,5.4,4.0,2022,Regular Season,32.90769230769231,13,448,22.8,0.666,0.316,0.239,1.9,12.1,7.2,36.4,2.2,0.4,15.3,20.8,1.6,0.2,1.8,0.196,3.7,1.2,4.9,0.8,Playoffs,34.46153846153846,2.0,-3.2,-0.0139999999999999,0.0139999999999999
Chris Paul,PG,37,PHO,59,1889,17.7,0.555,0.391,0.24,1.6,13.4,7.4,38.7,2.4,1.0,13.4,19.2,3.7,2.5,6.2,0.156,2.0,1.2,3.2,2.5,2023,Regular Season,32.016949152542374,7,250,14.7,0.469,0.308,0.044,2.4,13.7,8.2,27.9,2.4,1.7,7.0,17.5,0.2,0.1,0.3,0.064,0.2,0.7,0.8,0.2,Playoffs,35.714285714285715,-3.0,-2.3,-0.092,0.092
Clint Capela,C,24,HOU,67,2249,23.8,0.658,0.0,0.357,14.4,27.6,20.8,7.1,1.0,3.9,10.0,18.2,7.8,3.0,10.8,0.23,3.3,-0.3,3.0,2.8,2019,Regular Season,33.56716417910448,11,331,15.7,0.549,0.0,0.427,14.4,23.8,19.2,7.7,0.4,3.4,14.1,15.0,0.5,0.4,0.9,0.129,0.3,-1.0,-0.6,0.1,Playoffs,30.09090909090909,-8.100000000000001,-2.7,-0.101,0.101
Clint Capela,C,26,ATL,63,1898,24.3,0.601,0.0,0.327,17.5,34.3,26.1,4.1,1.1,6.0,8.4,19.9,4.9,3.3,8.2,0.207,2.7,0.0,2.7,2.2,2021,Regular Season,30.126984126984127,18,569,15.8,0.591,0.0,0.287,11.8,26.6,19.3,4.5,1.0,2.9,10.5,13.3,0.8,1.0,1.7,0.147,0.8,0.5,1.3,0.5,Playoffs,31.61111111111111,-8.5,-1.7000000000000002,-0.06,0.06
